image_name,directory,classification,model_percentage
016.jpeg,01,NORMAL,100.0
064.jpeg,01,NORMAL,100.0
065.jpeg,01,NORMAL,100.0
022.jpeg,01,NORMAL,100.0
025.jpeg,01,NORMAL,100.0
061.jpeg,01,NORMAL,100.0
019.jpeg,01,COVID,84.85
03.jpeg,01,NORMAL,99.97
066.jpeg,01,NORMAL,100.0
073.jpeg,01,NORMAL,100.0
058.jpeg,01,NORMAL,100.0
076.jpeg,01,NORMAL,100.0
05.jpeg,01,NORMAL,100.0
033.jpeg,01,NORMAL,100.0
081.jpeg,01,NORMAL,99.96
038.jpeg,01,NORMAL,100.0
08.jpeg,01,NORMAL,99.8
047.jpeg,01,NORMAL,100.0
083.jpeg,01,NORMAL,100.0
094.jpeg,01,NORMAL,100.0
034.jpeg,01,NORMAL,99.92
031.jpeg,01,NORMAL,99.85
057.jpeg,01,NORMAL,100.0
063.jpeg,01,NORMAL,100.0
012.jpeg,01,NORMAL,99.88
075.jpeg,01,NORMAL,100.0
02.jpeg,01,NORMAL,99.99
062.jpeg,01,NORMAL,100.0
051.jpeg,01,NORMAL,99.99
020.jpeg,01,COVID,84.85
074.jpeg,01,NORMAL,100.0
06.jpeg,01,NORMAL,100.0
010.jpeg,01,NORMAL,99.96
067.jpeg,01,NORMAL,100.0
041.jpeg,01,NORMAL,100.0
07.jpeg,01,NORMAL,86.03
077.jpeg,01,NORMAL,100.0
042.jpeg,01,NORMAL,100.0
046.jpeg,01,NORMAL,95.42
013.jpeg,01,NORMAL,100.0
011.jpeg,01,NORMAL,99.79
01.jpeg,01,NORMAL,99.99
043.jpeg,01,NORMAL,100.0
021.jpeg,01,NORMAL,100.0
056.jpeg,01,NORMAL,100.0
078.jpeg,01,NORMAL,100.0
096.jpeg,01,NORMAL,99.77
024.jpeg,01,NORMAL,100.0
082.jpeg,01,NORMAL,100.0
04.jpeg,01,NORMAL,99.99
048.jpeg,01,NORMAL,100.0
055.jpeg,01,NORMAL,99.98
071.jpeg,01,NORMAL,100.0
023.jpeg,01,NORMAL,100.0
036.jpeg,01,NORMAL,99.95
054.jpeg,01,NORMAL,100.0
045.jpeg,01,NORMAL,100.0
068.jpeg,01,NORMAL,100.0
072.jpeg,01,NORMAL,100.0
095.jpeg,01,NORMAL,100.0
037.jpeg,01,NORMAL,100.0
044.jpeg,01,NORMAL,100.0
053.jpeg,01,NORMAL,100.0
035.jpeg,01,NORMAL,100.0
027.jpeg,01,NORMAL,100.0
052.jpeg,01,NORMAL,100.0
018.jpeg,01,NORMAL,100.0
09.jpeg,01,COVID,86.53
032.jpeg,01,NORMAL,100.0
084.jpeg,01,NORMAL,100.0
COVID-00023.jpg,03,COVID,98.79
COVID-00008.jpg,03,COVID,98.9
COVID-00007.jpg,03,COVID,99.09
086.jpg,03,COVID,97.23
065.jpeg,03,COVID,75.92
022.jpeg,03,COVID,98.78
025.jpeg,03,COVID,99.29
COVID-00035.jpg,03,COVID,99.0
050.jpeg,03,COVID,99.88
03.jpeg,03,COVID,71.85
068.jpg,03,NORMAL,98.1
COVID-00021.jpg,03,COVID,99.01
058.jpeg,03,COVID,99.86
COVID-00003a.jpg,03,NORMAL,99.97
COVID-00006.jpg,03,COVID,93.43
081.jpeg,03,COVID,77.05
060.jpeg,03,COVID,92.18
069.jpg,03,NORMAL,85.74
059.jpeg,03,COVID,99.84
08.jpeg,03,COVID,99.74
047.jpeg,03,COVID,74.86
076.jpg,03,NORMAL,99.98
COVID-00025.jpg,03,COVID,93.11
083.jpeg,03,COVID,95.12
COVID-00038.jpg,03,NORMAL,65.27
033.png,03,NORMAL,99.93
COVID-00005.jpg,03,NORMAL,67.47
039.jpeg,03,COVID,99.39
COVID-00030.jpg,03,COVID,97.07
09.png,03,COVID,90.88
091.jpg,03,COVID,71.1
COVID-00032.jpg,03,COVID,56.84
COVID-00013b.jpg,03,NORMAL,60.46
COVID-00036.jpg,03,NORMAL,95.37
COVID-00026.jpg,03,NORMAL,99.9
COVID-00003b.jpg,03,COVID,99.9
031.jpeg,03,NORMAL,99.77
COVID-00004.jpg,03,COVID,97.92
COVID-00012.jpg,03,COVID,98.4
057.jpeg,03,COVID,97.99
COVID-00027.jpg,03,COVID,99.76
COVID-00011.jpg,03,NORMAL,99.41
012.jpeg,03,COVID,97.68
02.jpeg,03,NORMAL,94.55
040.jpeg,03,NORMAL,73.65
062.jpeg,03,NORMAL,99.45
020.jpg,03,NORMAL,85.23
051.jpeg,03,COVID,99.87
071.jpg,03,COVID,98.97
COVID-00016.jpg,03,COVID,85.08
092.png,03,COVID,99.87
079.jpeg,03,COVID,98.87
06.jpeg,03,COVID,55.66
COVID-00015a.png,03,COVID,89.17
041.jpeg,03,NORMAL,92.07
073.jpg,03,COVID,93.42
067.jpg,03,NORMAL,90.21
019.png,03,COVID,73.63
COVID-00033.jpg,03,COVID,98.07
042.jpeg,03,NORMAL,99.83
046.jpeg,03,COVID,99.88
064.jpg,03,COVID,99.59
COVID-00002.jpg,03,COVID,99.16
01.jpeg,03,NORMAL,75.54
COVID-00017.jpg,03,COVID,99.03
COVID-00009.jpg,03,COVID,98.4
043.jpeg,03,COVID,99.98
021.jpeg,03,NORMAL,95.29
COVID-00013a.jpg,03,COVID,87.99
078.jpeg,03,COVID,97.55
COVID-00015b.png,03,COVID,68.34
024.jpeg,03,NORMAL,93.35
074.jpg,03,NORMAL,96.7
COVID-00024.jpg,03,COVID,92.51
COVID-00022.jpg,03,NORMAL,78.11
026.jpeg,03,NORMAL,76.78
015.jpg,03,NORMAL,94.21
080.jpg,03,COVID,99.41
082.jpg,03,COVID,99.35
048.jpeg,03,COVID,98.25
010.png,03,COVID,99.94
090.jpeg,03,COVID,90.04
055.jpeg,03,COVID,89.6
COVID-00018.jpg,03,COVID,99.58
COVID-00031.jpg,03,COVID,97.58
COVID-00019.jpg,03,NORMAL,66.68
COVID-00028.jpg,03,NORMAL,99.96
COVID-00029.jpg,03,COVID,85.87
056.jpg,03,COVID,95.36
049.jpeg,03,COVID,99.99
COVID-00037.jpg,03,COVID,97.94
COVID-00001.jpg,03,COVID,96.98
054.jpeg,03,COVID,99.1
089.jpg,03,NORMAL,58.21
085.jpeg,03,COVID,66.5
045.jpeg,03,COVID,83.08
COVID-00010.jpg,03,NORMAL,97.0
COVID-00014.jpg,03,COVID,99.98
072.jpeg,03,COVID,89.96
COVID-00034.jpg,03,COVID,95.2
044.jpeg,03,NORMAL,87.31
053.jpeg,03,COVID,59.85
07.jpg,03,COVID,99.91
027.jpeg,03,NORMAL,97.77
052.jpeg,03,COVID,86.41
